id,neighbourhood,room_type,accommodates,bathrooms,bedrooms,beds,price
13188,Riley Park,Entire home/apt,4,1,0,2,14
13358,Downtown,Entire home/apt,2,1,1,1,20
13490,Kensington-Cedar Cottage,Entire home/apt,2,1,1,1,35
14267,Kensington-Cedar Cottage,Entire home/apt,4,1,1,2,35
16254,Hastings-Sunrise,Entire home/apt,4,1,2,3,36
16611,Grandview-Woodland,Entire home/apt,6,,3,,37
17765,Mount Pleasant,Entire home/apt,2,,1,,37
18024,Kensington-Cedar Cottage,Private room,6,,3,,37
18270,Mount Pleasant,Private room,2,,,,37
18589,Grandview-Woodland,Private room,2,1,1,1,38
18795,West End,Private room,2,1,1,0,39
20085,Kensington-Cedar Cottage,Entire home/apt,3,1,2,2,39
24273,Kitsilano,Entire home/apt,6,1,2,3,39
26047,Downtown,Entire home/apt,2,1,1,2,40
33150,Riley Park,Entire home/apt,3,1,1,2,40
35304,Grandview-Woodland,Entire home/apt,2,1,1,1,40
42645,Downtown,Entire home/apt,3,1,1,2,40
49736,Kitsilano,Entire home/apt,2,,,,42
73841,Downtown,Entire home/apt,3,1,1,1,42
77157,Arbutus Ridge,Entire home/apt,4,1,1,3,42
98830,Downtown,Entire home/apt,2,,1,,43
134688,Renfrew-Collingwood,Private room,1,1,2,1,43
140698,Mount Pleasant,Private room,2,1,1,2,43
172827,Downtown,Entire home/apt,4,,2,,43
182451,Kitsilano,Entire home/apt,4,,1,,43
196722,Grandview-Woodland,Entire home/apt,6,,3,,43
219261,Kitsilano,Entire home/apt,4,1,2,2,44
248014,Grandview-Woodland,Entire home/apt,3,1,2,2,44
254657,Downtown Eastside,Entire home/apt,2,1,1,1,45
256178,Kitsilano,Entire home/apt,7,1,2,4,45
311354,Grandview-Woodland,Entire home/apt,7,,3,,45
322824,Downtown,Entire home/apt,2,1,1,1,45
359942,Downtown,Private room,2,1,2,1,45
377706,Grandview-Woodland,Private room,1,,,,45
436032,Downtown Eastside,Entire home/apt,4,1,2,2,45
461370,Killarney,Private room,2,,1,,45
461386,Killarney,Private room,2,1,1,1,45
464172,Hastings-Sunrise,Entire home/apt,4,,2,,45
475296,Downtown Eastside,Entire home/apt,2,1.5,1,1,46
496298,Downtown,Entire home/apt,3,1,1,3,46
498112,Kensington-Cedar Cottage,Entire home/apt,8,2,4,4,47
507767,Downtown,Entire home/apt,4,1,1,1,47
540348,Kensington-Cedar Cottage,Entire home/apt,6,1,3,3,48
557357,Grandview-Woodland,Entire home/apt,2,1,1,0,48
622217,Downtown,Entire home/apt,6,2,3,3,48
625396,Kitsilano,Entire home/apt,2,1,1,2,48
648026,Grandview-Woodland,Entire home/apt,2,1,1,2,48
659986,South Cambie,Private room,2,,1,,48
703179,Downtown,Entire home/apt,2,1,1,1,48
713271,West End,Entire home/apt,2,1,1,1,48
731219,Kitsilano,Entire home/apt,2,1,1,2,48
735468,West End,Entire home/apt,3,1,1,2,48
755558,Kitsilano,Entire home/apt,4,,2,,48
771366,Downtown,Entire home/apt,2,1,0,1,48
771380,Downtown,Entire home/apt,6,2,2,3,49
784153,Kitsilano,Entire home/apt,2,1,1,1,49
785297,Kitsilano,Private room,2,1,1,1,49
796603,West End,Shared room,1,,,,50
801222,Fairview,Entire home/apt,2,1,1,0,50
875309,Kitsilano,Entire home/apt,5,1.5,2,2,50
885600,Dunbar Southlands,Entire home/apt,2,1,1,1,50
958090,Downtown,Entire home/apt,4,,,,50
980511,Downtown,Entire home/apt,2,,,,50
995174,West End,Entire home/apt,4,,2,,50
1012385,Mount Pleasant,Entire home/apt,2,1,1,1,50
1015935,Downtown Eastside,Entire home/apt,2,1,0,1,50
1032892,Grandview-Woodland,Private room,2,1,1,1,50
1109821,West End,Entire home/apt,2,,1,,50
1113551,Kitsilano,Entire home/apt,8,2,4,6,50
1118858,West End,Private room,2,,1,,50
1141457,Downtown Eastside,Entire home/apt,4,1,2,2,50
1178149,Hastings-Sunrise,Entire home/apt,2,1,1,1,51
1187929,Kensington-Cedar Cottage,Entire home/apt,4,,2,,51
1191143,Kitsilano,Entire home/apt,5,1.5,3,3,51
1214617,Grandview-Woodland,Entire home/apt,4,1,2,2,51
1229506,Grandview-Woodland,Entire home/apt,6,2.5,3,3,52
1229714,Downtown,Entire home/apt,4,1,1,1,52
1273760,Downtown,Private room,4,1,1,2,52
1309315,Mount Pleasant,Entire home/apt,6,,4,,52
1316477,Downtown,Entire home/apt,2,,1,,52
1343411,Downtown Eastside,Entire home/apt,2,,1,,52
1343519,West End,Private room,2,1,1,0,52
1360765,Downtown,Entire home/apt,2,1,1,1,52
1365609,West End,Entire home/apt,2,1,1,1,53
1378220,West Point Grey,Entire home/apt,3,1,1,2,54
1393599,Downtown,Entire home/apt,3,2,2,0,54
1502887,Downtown,Entire home/apt,3,,2,,54
1507975,Riley Park,Private room,2,1,1,0,54
1525113,West End,Entire home/apt,2,,,,54
1610084,Kensington-Cedar Cottage,Entire home/apt,4,1,0,2,55
1623556,Riley Park,Entire home/apt,4,1,2,2,55
1657214,Downtown Eastside,Entire home/apt,2,1.5,1,1,55
1703616,Kitsilano,Entire home/apt,4,1.5,1,0,55
1717967,Riley Park,Entire home/apt,4,1,2,2,55
1733307,Downtown,Entire home/apt,5,1,1,3,55
1768817,Riley Park,Entire home/apt,2,1,1,1,55
1820919,Mount Pleasant,Entire home/apt,5,2.5,3,3,55
1830733,Downtown Eastside,Entire home/apt,2,1,1,1,55
1850984,Strathcona,Entire home/apt,4,1,2,2,55
1869071,Downtown,Entire home/apt,2,,1,,55
1932171,Grandview-Woodland,Entire home/apt,2,,1,,55
1962072,Mount Pleasant,Entire home/apt,4,2.5,3,3,55
1995592,Kitsilano,Private room,4,1,2,4,55
2003897,Fairview,Entire home/apt,2,1,1,1,55
2011559,Kitsilano,Entire home/apt,6,3,4,4,55
2033952,Kitsilano,Entire home/apt,2,,1,,55
2041582,Kitsilano,Entire home/apt,4,1,2,2,55
2042431,Downtown,Entire home/apt,3,1,1,2,55
2056676,Downtown,Entire home/apt,4,1,1,2,55
2084273,Renfrew-Collingwood,Private room,1,1.5,1,1,55
2092610,Mount Pleasant,Entire home/apt,2,1,1,2,56
2106364,Renfrew-Collingwood,Private room,1,1.5,1,1,56
2163742,Kensington-Cedar Cottage,Private room,2,1,1,1,56
2168943,Fairview,Entire home/apt,4,,2,,56
2183209,Kitsilano,Entire home/apt,2,1,1,1,56
2198419,Downtown,Entire home/apt,3,1,2,2,56
2216062,West Point Grey,Entire home/apt,4,1,2,3,56
2315217,Killarney,Entire home/apt,3,1,1,0,56
2365994,West End,Entire home/apt,2,1,0,1,57
2454353,Kensington-Cedar Cottage,Entire home/apt,3,1,1,2,57
2468591,Downtown,Entire home/apt,2,1,1,1,57
2472791,Kitsilano,Entire home/apt,2,1,1,0,57
2493042,Fairview,Entire home/apt,2,,1,,57
2502137,Mount Pleasant,Entire home/apt,2,1,1,1,57
2532975,Hastings-Sunrise,Entire home/apt,4,1,2,2,58
2576878,Fairview,Entire home/apt,2,1,1,1,58
2592307,South Cambie,Entire home/apt,2,1,1,2,58
2644110,Grandview-Woodland,Entire home/apt,3,,1,,58
2653578,Downtown,Entire home/apt,4,1,1,2,58
2658803,West End,Entire home/apt,4,,2,,58
2669445,West Point Grey,Entire home/apt,2,1,1,1,58
2675179,Kitsilano,Entire home/apt,4,2,2,2,58
2709965,Kensington-Cedar Cottage,Private room,2,1,1,1,58
2710628,Hastings-Sunrise,Entire home/apt,2,1,1,1,58
2730555,Mount Pleasant,Entire home/apt,2,1,1,1,58
2764812,Downtown,Entire home/apt,6,2,2,4,58
2812038,Mount Pleasant,Entire home/apt,4,1,2,2,59
2836478,Downtown,Entire home/apt,4,,2,,59
